Mechanical Mathematics,Thermal Dynamic,Calculus,Fluid Mechanics,Statics,Dynamics
Lionel Dickson:46,83,28,94,45,10
Ronald Lang:29,0,1,64,83,64
Kaitlyn Benton:87,10,9,64,24,85
Rowan Ortiz:10,68,47,77,36,64
Anthony Dillard:66,73,72,19,56,79
Julian Griffin:61,5,64,23,34,62
Darius Weiss:30,75,17,31,11,25
Gloria Hess:89,37,87,22,98,11
Christine Wright:79,98,72,2,62,10
Evangeline Wynn:76,37,41,39,1,43
Gage Merrill:65,94,96,41,18,88
Norah Hoffman:91,50,72,12,56,20
Norah Cohen:59,64,39,94,13,63
Edward Smith:2,93,47,22,14,60
Aspen Hall:65,9,28,35,55,73
Maddison Conrad:79,83,37,28,16,34
Thaddeus Adkins:20,83,92,44,41,73
Maurice Mcknight:10,19,16,91,9,62
Madalyn Jackson:78,17,69,40,8,71
Giselle Moreno:30,21,33,63,87,75
Kyle Greer:13,3,72,87,84,16
April Butler:74,31,68,44,36,56
Duke Waters:18,94,36,18,7,29
Zoe Davidson:70,10,11,25,28,3
Carla Welch:47,36,83,87,44,61
Tiffany Valencia:58,70,10,73,90,89
Kara Mccullough:2,48,81,76,65,78
Tessa Bell:10,80,0,1,4,15
Opal Boyd:85,16,34,1,10,3
Jaiden Pruitt:33,50,38,1,37,73
Kenzie Mcmahon:76,93,95,96,34,69
Veronica Newman:27,78,10,50,42,40
Heidi Barr:29,18,65,58,51,92
Ronnie Williamson:77,16,18,47,17,83
Jessie Salas:78,46,52,71,6,54
Serenity Buckner:35,29,80,52,23,30
Evie Glover:85,81,66,95,41,1
Annabel Glass:36,72,83,47,35,57
Kaiden Ortiz:33,81,67,7,97,92
Rose Mcgee:33,6,41,1,69,31
Kori Carroll:58,85,11,7,49,4
Dahlia Becker:85,9,5,51,40,44
Zander Jarvis:44,56,54,79,35,94
Camryn Wilkinson:61,51,56,92,77,31
Jamie Brady:74,29,20,60,25,43
Jaden Hooper:91,81,64,69,57,56
Clarissa Head:43,10,25,26,40,71
Robert Collins:82,28,11,62,75,29
Michael Cruz:65,10,18,60,50,22
Easton Holt:18,70,81,16,13,100
Aleah Hogan:47,27,78,82,55,66
Jessa Contreras:44,12,37,47,28,61
Emilee Gill:83,50,88,92,0,85
Major Guzman:52,9,32,26,25,37
Tyson Shannon:70,66,99,76,27,11
June Crosby:77,19,100,99,70,21
Kennedy Witt:75,38,24,99,82,54
Barrett Waters:18,24,86,56,58,71
Major Morin:23,84,77,81,30,54
Dorian Washington:76,31,1,92,86,53
Micah Martin:89,31,63,35,44,80
Tommy Dillard:28,33,19,92,29,58
Ava Andrews:74,40,56,41,7,48
Holly Rice:52,90,99,38,66,88
Bridget Green:67,83,92,90,24,46
Jericho Stevenson:87,9,79,10,9,27
Leroy Delacruz:28,72,84,5,64,80
Meghan Wiggins:12,75,68,89,41,95
Jayda Duncan:43,6,50,9,57,6
Ronald Gould:89,90,9,11,23,46
